"TRIAL","LOC","ENV","AGROZONE","DOP","DOH","YEAR","TMEAN","TRANGE","TMAX","TMIN","RHMEAN","PRECIPITATION","WINDSPEED"
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.59,9.06,30.42,21.36,84.25,4.14,0.83
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.8,5.71,28.04,22.33,89.75,9.39,1.13
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.31,5.57,27.69,22.12,90.62,18.92,0.91
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.26,5.95,27.57,21.62,88.81,11.56,1.16
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.62,5.67,27.1,21.43,89.88,3.22,1.69
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,23.37,5.5,26.64,21.15,88.5,2.97,1.89
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,22.79,4.36,25.48,21.12,85,2.61,1.41
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.06,9.77,29.82,20.05,77.12,0.26,0.77
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.57,9.3,30.41,21.12,80.62,0.27,1.14
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,25.29,7.63,29.56,21.93,85.38,8.31,0.98
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.07,5.47,27.33,21.86,90.94,19.55,1.01
"19.GS.C2.UYT.36.setA.AB","Abuja","Abuja20","Southern Guinea Savanna","6/19/19","7/28/20",2019,24.49,7.96,28.73,20.77,88,20.37,1.59
