"loc","year","env","trial","rep","gen","prop_hav","trait","y"
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS13F1114P0001",1,"fyld",39.0625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1035P0004",1,"fyld",39.0625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1194P0002",1,"fyld",40.9375
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1036P0007",1,"fyld",40.9375
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1208P0007",1,"fyld",40
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1022P0006",1,"fyld",31.5625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1001P0004",1,"fyld",58.4375
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1297P0019",1,"fyld",32.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1291P0011",1,"fyld",27.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1120P0003",1,"fyld",32.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1306P0015",1,"fyld",49.0625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1016P0006",1,"fyld",52.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1312P0003",1,"fyld",22.8125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1262P0002",1,"fyld",44.375
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1131P0001",0.75,"fyld",44.6875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1049P0001",1,"fyld",26.25
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS13F1461P0002",1,"fyld",32.8125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1300P0008",1,"fyld",42.8125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1303P0012",1,"fyld",41.25
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS13F2061P0005",1,"fyld",26.5625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS13F1182P0002",1,"fyld",27.8125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1223P0007",1,"fyld",40.3125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1311P0002",1,"fyld",25.3125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"IITA-TMS-IBA000070",1,"fyld",36.875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"IITA-TMS-IBA982101",1,"fyld",27.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1306P0020",1,"fyld",29.0625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS13F1021P0008",1,"fyld",40.3125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1310P0004",1,"fyld",32.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMEB419",1,"fyld",38.125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1195P0005",1,"fyld",31.5625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"IITA-TMS-IBA980581",NA,"fyld",NA
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1035P0007",0.9,"fyld",27.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS14F1285P0017",1,"fyld",29.375
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"IITA-TMS-IBA30572",0.65,"fyld",17.8125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",2,"TMS13F2207P0001",1,"fyld",35.3125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1310P0004",1,"fyld",42.5
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1306P0015",1,"fyld",27.5
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1001P0004",1,"fyld",32.8125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1303P0012",1,"fyld",35.9375
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1285P0017",1,"fyld",39.6875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMEB419",1,"fyld",27.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1022P0006",1,"fyld",34.0625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"IITA-TMS-IBA000070",1,"fyld",38.4375
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1306P0020",1,"fyld",29.0625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1195P0005",1,"fyld",29.0625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1262P0002",1,"fyld",35.9375
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1049P0001",1,"fyld",25.3125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1131P0001",1,"fyld",48.125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS13F1461P0002",1,"fyld",32.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1312P0003",1,"fyld",23.4375
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS13F1021P0008",1,"fyld",34.0625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1311P0002",1,"fyld",27.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1208P0007",1,"fyld",25.625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1036P0007",1,"fyld",37.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1300P0008",1,"fyld",27.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1035P0007",1,"fyld",38.4375
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1194P0002",1,"fyld",29.375
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1291P0011",1,"fyld",24.0625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1297P0019",1,"fyld",31.5625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS13F2061P0005",1,"fyld",23.4375
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1016P0006",1,"fyld",45.3125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1035P0004",1,"fyld",36.5625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"IITA-TMS-IBA982101",1,"fyld",23.4375
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1223P0007",1,"fyld",34.0625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"IITA-TMS-IBA30572",1,"fyld",32.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"IITA-TMS-IBA980581",1,"fyld",23.4375
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1224P0004",1,"fyld",40.9375
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS13F2207P0001",1,"fyld",30.3125
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS14F1120P0003",1,"fyld",32.1875
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS13F1114P0001",1,"fyld",34.0625
"Ago-Owu",2018,"Ago-Owu18","17UYT36setAAG",3,"TMS13F1182P0002",1,"fyld",40.9375
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1223P0007",1,"fyld",40.625
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1194P0002",0.85,"fyld",26.5
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1195P0005",0.85,"fyld",38.375
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1303P0012",0.7,"fyld",27.5
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS13F2207P0001",1,"fyld",44.75
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1285P0017",1,"fyld",31.875
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"IITA-TMS-IBA980581",0.75,"fyld",38.125
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1016P0006",0.65,"fyld",42.75
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1300P0008",0.65,"fyld",41.5625
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS13F2061P0005",0.7,"fyld",48.75
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS13F1461P0002",0.85,"fyld",41.375
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1001P0004",0.6,"fyld",37.125
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1049P0001",1,"fyld",37.5
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1022P0006",0.45,"fyld",37.5
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1262P0002",0.85,"fyld",35
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1297P0019",0.5,"fyld",5.625
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"IITA-TMS-IBA000070",0.6,"fyld",36.8125
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"IITA-TMS-IBA982101",0.9,"fyld",27
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"IITA-TMS-IBA30572",0.9,"fyld",37.5
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS13F1114P0001",1,"fyld",57.625
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMEB419",0.9,"fyld",27.5
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1036P0007",1,"fyld",65
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1312P0003",0.8,"fyld",42
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1035P0004",0.8,"fyld",35.25
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1120P0003",1,"fyld",13.75
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1306P0015",0.9,"fyld",39.375
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1306P0020",0.9,"fyld",44.25
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS13F1021P0008",1,"fyld",57.625
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS13F1182P0002",1,"fyld",38.625
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1035P0007",0.75,"fyld",49.375
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1310P0004",0.6,"fyld",31.25
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1291P0011",0.6,"fyld",31.375
"Ibadan",2018,"Ibadan18","17UYT36setAIB",1,"TMS14F1311P0002",0.95,"fyld",32.375
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS13F1114P0001",0.95,"fyld",53.5
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1035P0004",0.7,"fyld",52.875
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1194P0002",0.95,"fyld",40
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1036P0007",0.8,"fyld",41.75
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1022P0006",0.55,"fyld",30.125
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1001P0004",0.75,"fyld",33.125
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1297P0019",0.9,"fyld",21.875
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1291P0011",0.75,"fyld",33.625
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1120P0003",0.7,"fyld",8.75
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1306P0015",0.65,"fyld",29.875
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1016P0006",0.7,"fyld",42.75
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1312P0003",1,"fyld",46.875
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1262P0002",0.7,"fyld",46.375
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1049P0001",0.85,"fyld",33.375
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS13F1461P0002",1,"fyld",43.125
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1300P0008",0.7,"fyld",33.125
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1303P0012",0.9,"fyld",44.25
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS13F2061P0005",1,"fyld",40.75
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS13F1182P0002",0.8,"fyld",42.625
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1223P0007",0.9,"fyld",46.875
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1311P0002",0.8,"fyld",30.75
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"IITA-TMS-IBA000070",1,"fyld",53.125
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"IITA-TMS-IBA982101",1,"fyld",27.25
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1306P0020",1,"fyld",43.75
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS13F1021P0008",1,"fyld",41.375
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1310P0004",0.65,"fyld",19.875
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMEB419",1,"fyld",37.5
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1195P0005",1,"fyld",42.625
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"IITA-TMS-IBA980581",0.8,"fyld",35
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1035P0007",0.7,"fyld",38.125
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS14F1285P0017",1,"fyld",38.5
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"IITA-TMS-IBA30572",1,"fyld",41.125
"Ibadan",2018,"Ibadan18","17UYT36setAIB",2,"TMS13F2207P0001",0.9,"fyld",45.625
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1310P0004",1,"fyld",30
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1306P0015",0.75,"fyld",17.625
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1001P0004",1,"fyld",34.375
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1303P0012",1,"fyld",36.25
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1285P0017",1,"fyld",26.25
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMEB419",0.9,"fyld",20
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1022P0006",0.75,"fyld",35.9375
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"IITA-TMS-IBA000070",1,"fyld",39.375
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1306P0020",0.75,"fyld",48
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1195P0005",0.7,"fyld",35.625
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1262P0002",0.9,"fyld",11.875
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1049P0001",1,"fyld",36
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS13F1461P0002",1,"fyld",46.5
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1312P0003",1,"fyld",40.5
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS13F1021P0008",1,"fyld",40.625
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1311P0002",1,"fyld",28.75
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1036P0007",0.75,"fyld",43.75
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1300P0008",1,"fyld",51.5
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1035P0007",0.5,"fyld",45.375
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1194P0002",1,"fyld",35.875
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1291P0011",NA,"fyld",NA
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1297P0019",1,"fyld",13.125
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS13F2061P0005",1,"fyld",33.25
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1016P0006",1,"fyld",8.875
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1035P0004",1,"fyld",37.75
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"IITA-TMS-IBA982101",1,"fyld",14.25
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1223P0007",1,"fyld",45
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"IITA-TMS-IBA30572",1,"fyld",32.5
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"IITA-TMS-IBA980581",1,"fyld",40.125
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS13F2207P0001",1,"fyld",54.375
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS14F1120P0003",0.35,"fyld",31.25
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS13F1114P0001",1,"fyld",45.25
"Ibadan",2018,"Ibadan18","17UYT36setAIB",3,"TMS13F1182P0002",1,"fyld",42.125
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1223P0007",1,"fyld",39.0625
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1194P0002",1,"fyld",38.125
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1195P0005",1,"fyld",40.3125
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1303P0012",1,"fyld",47.1875
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS13F2207P0001",0.95,"fyld",38.125
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1285P0017",0.9,"fyld",38.125
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1224P0004",1,"fyld",56.875
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"IITA-TMS-IBA980581",1,"fyld",32.5
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1016P0006",1,"fyld",44.375
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1300P0008",1,"fyld",29.375
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS13F2061P0005",1,"fyld",42.5
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS13F1461P0002",1,"fyld",39.375
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1001P0004",1,"fyld",44.6875
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1049P0001",1,"fyld",23.75
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1022P0006",1,"fyld",46.875
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1262P0002",1,"fyld",43.125
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1297P0019",0.95,"fyld",34.0625
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1131P0001",0.75,"fyld",43.75
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"IITA-TMS-IBA000070",1,"fyld",41.875
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"IITA-TMS-IBA982101",0.75,"fyld",23.75
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"IITA-TMS-IBA30572",0.85,"fyld",38.4375
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS13F1114P0001",1,"fyld",26.875
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMEB419",1,"fyld",30.3125
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1036P0007",1,"fyld",44.6875
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1312P0003",1,"fyld",29.0625
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1035P0004",1,"fyld",40.3125
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1120P0003",1,"fyld",20.625
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1306P0015",0.95,"fyld",30.9375
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1306P0020",0.95,"fyld",37.5
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS13F1021P0008",1,"fyld",39.6875
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS13F1182P0002",1,"fyld",31.5625
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1035P0007",0.95,"fyld",28.75
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1310P0004",1,"fyld",47.1875
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1291P0011",1,"fyld",35.9375
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1311P0002",1,"fyld",25.9375
"Ikenne",2018,"Ikenne18","17UYT36setAIK",1,"TMS14F1208P0007",0.4,"fyld",26.25
"Ikenne",2018,"Ikenne18","17UYT36setAIK",2,"TMS14F1224P0004",1,"fyld",34.375
"Ikenne",2018,"Ikenne18","17UYT36setAIK",2,"TMS13F1114P0001",1,"fyld",25.3125
"Ikenne",2018,"Ikenne18","17UYT36setAIK",2,"TMS14F1035P0004",1,"fyld",47.1875
"Ikenne",2018,"Ikenne18","17UYT36setAIK",2,"TMS14F1194P0002",1,"fyld",37.1875
"Ikenne",2018,"Ikenne18","17UYT36setAIK",2,"TMS14F1036P0007",1,"fyld",37.5
"Ikenne",2018,"Ikenne18","17UYT36setAIK",2,"TMS14F1208P0007",0.65,"fyld",32.8125
