"gen","Abuja20","Ago-Owu18","Ago-Owu19","Ago-Owu20","Ibadan18","Ibadan19","Ibadan20","Ikenne18","Ikenne19","Ikenne20","Mokwa18","Mokwa19","Onne19","Onne20","Otobi19","Ubiaja20","Umudike19"
"TMS13F2207P0001",27.1670605602883,34.9921837792706,32.8815663649032,42.5469630279903,42.6022476636393,44.8405485209741,27.0376129662236,37.1031397404627,22.3217154267426,42.1989932826391,38.6475626803268,26.3675698019531,16.3083433973282,10.4734888494211,50.8437235486314,22.9592160242847,30.0899557119426
"TMS14F1001P0004",21.7623472305518,39.6295951227256,26.0633536274381,45.0059650620179,38.569802559452,45.6131680663288,27.014587984928,38.6004166745649,21.8825514241987,43.938031423982,35.9746355452116,20.4226091764188,12.570540583813,9.82773134880517,48.1855868355833,22.2447004505241,35.1937827748499
"TMS14F1016P0006",25.6348819291429,45.8519961660048,35.0931139032777,43.3792805760089,39.2993578239993,50.5553823670485,26.5864064927087,43.7124499568348,17.2171436034227,42.9147660143482,44.8183230757554,21.4038816667416,21.2552124178701,12.0308994187206,54.3186932824856,24.9267304092897,35.5897979022105
"TMS14F1022P0006",21.0165122988255,35.8572474354319,30.1937887774391,43.2767295511587,40.134393380559,47.1328678644095,25.4687756590394,43.5154340574293,18.5708313493104,41.2041634377194,44.7472812331943,24.5023332806791,16.5857904441028,11.6216568202307,48.3546688166522,21.5600307822396,32.594532862751
"TMS14F1035P0004",24.689473260483,34.2381491618795,35.460572352186,41.8982395392307,41.1940010368751,45.2415628549531,26.8807868865903,38.4529922708263,19.5119343974032,42.4376497542046,42.1409066369533,25.848855538529,16.0427624733172,9.66273423143002,49.7890045154872,20.6952763303311,33.0644865525626
"TMS14F1035P0007",21.9925436074561,33.2969091742744,29.0950578562758,37.0537177601959,41.5843676879356,43.5452438573779,22.6602909158577,30.3940358107002,18.2256095277097,43.7229521443771,40.8033757393716,23.8128439575691,12.258463757964,7.82825511405585,47.5492852442411,21.164592756309,31.2359368578607
"TMS14F1036P0007",29.2921916291548,38.6751159830857,35.9324847263382,48.5796225193866,46.3234439195393,48.5731430438261,30.1500398132926,40.3792479059758,25.6404613427517,51.1037211528873,44.858440850392,21.0607055260537,18.119165571325,12.4992849298249,53.5960829635951,29.5235529385425,41.0961125596063
"TMS14F1049P0001",16.485234238754,26.3527636646676,22.4518585708566,32.939562763554,33.1676357045624,33.294807356104,16.3566965356714,26.7816471630265,14.4480823980218,33.3042598938888,33.137546983341,16.13087613847,6.95410132169083,4.62239057041243,42.8929304134139,17.8302479527388,26.0923553515067
"TMS14F1120P0003",19.5397745327225,29.8124867021186,17.8310883312096,32.1193188451095,28.8651847520507,34.010951416055,21.0368859828063,24.3513094933257,14.2567677734608,31.0991120438156,29.5626088663595,14.2230459333433,12.772516058057,10.5800254395238,42.3554603489925,14.5948715886154,28.6537701181545
"TMS14F1131P0001",22.7649976563716,40.2343483156693,26.7879010149106,41.922583884956,39.1535026291318,41.5849060968985,24.3465311650938,38.2605584153825,21.1611582668052,45.9609887009025,34.0418178958846,20.0033027829537,17.1883466593545,10.3584095991962,48.9438899168308,20.424333904869,37.2962283622365
"TMS14F1194P0002",23.3784072162214,33.2797054332552,26.9584705037612,39.0342732050819,35.8872983202042,36.7405385147381,26.1304851852831,33.9692874115245,18.5949907728736,35.941310601133,34.7258927060977,20.2227602608039,16.4840902229865,7.6459709165252,47.5393204133937,21.9080863980216,31.3745360944673
"TMS14F1195P0005",19.796726707376,28.095619441928,20.4763072850381,37.1439035971944,36.5196296452542,37.6566744124706,22.4188478710392,33.0028935360327,18.4869501212931,36.2869896082152,33.1115499408012,13.6171771810655,12.3897308558442,9.41568198348161,44.0801575467776,14.9035442451884,31.926991206951
"TMS14F1208P0007",20.7299656187315,31.1199042720093,25.0677648338626,42.6480909848045,37.5141299836482,47.0877743328813,23.6115431050525,36.0103420732024,17.8484661165832,42.3973702517754,36.13066183309,18.3723531922687,15.0356850290054,10.3386009310715,47.6278887022963,18.7827165756599,30.0180708513279
"TMS14F1223P0007",25.5736440390577,35.1531198787441,30.6386128446466,42.8669610136852,40.6704854201147,43.2136368975944,29.2281839062362,37.4681664444041,20.811376095896,41.5375928056007,39.64822452789,20.7471374222283,17.1236506166563,11.4139764851482,47.6021956937356,17.1001300985857,33.2060300229211
"TMS14F1224P0004",16.8658257167022,34.3385350395184,24.7521364924257,35.9914454404075,34.538420307392,37.3168555232525,21.3028676130608,37.9693918469217,13.9868598267616,35.1423508809559,36.4710076241204,15.668788675522,9.64746601588695,8.65659041178171,41.6435306308426,13.4981810929926,27.9286722843765
"TMS14F1262P0002",26.0211573979647,36.1917535040328,30.9489950512309,42.7264245439339,38.0122785835056,44.0658847009058,31.089885724716,40.381828075595,23.6174893723498,43.3683335291558,47.4686780573107,17.5871929670685,14.9132662156481,10.9975491521413,51.3133838149815,25.1474644683181,34.0634919952588
"TMS14F1285P0017",27.9636631205247,36.2506652561021,30.9516090072298,48.0122736839105,37.7504750330451,43.1220801158781,25.4225625065188,36.7585275110352,25.4274042182682,46.5996990406605,41.0557019185178,26.9268351022786,18.4822284568115,13.9701605421855,48.2731954462588,25.4900630055452,37.7666384047209
"TMS14F1291P0011",17.7165945225465,27.1756964000498,28.1196852615355,39.3445265874512,34.8768231388692,33.4117275969812,20.9853912391785,33.4075767350542,14.1520019252102,36.926362593318,37.2028426586923,20.0816636446344,10.3855763570576,7.03957056053331,40.6817007964015,18.1977478862015,27.9074895745381
"TMS14F1297P0019",19.3765225846473,31.5112681928868,22.4332703121356,36.6060395184747,27.6803873456363,31.9710399586012,16.317823693987,28.1897885266365,16.1533593339832,37.7427294899269,38.2393059136343,17.4756639901405,10.510056431148,11.1955901201688,40.2067147139033,21.0777300655567,26.1316975584714
"TMS14F1300P0008",23.038430482713,34.211738963721,22.1562346669068,43.1764929157647,39.8865209397348,39.0285178054877,30.2492018206628,31.5042107087021,18.5579916163033,37.5390749775329,32.8269912194637,20.5803437465746,14.9764008771569,11.1472490407126,50.1714240517972,18.8559601839719,33.9698022920034
"TMS14F1303P0012",22.1562429922695,36.2161236904974,25.6101743566928,40.4571841769475,37.4565318543763,39.3249109683346,24.345934980319,34.6676631910386,18.5014712819948,40.4126633284416,42.1995008090449,20.9001560761073,13.0823827801426,8.35886074546228,47.3260112518658,24.7398154314458,29.0810059483648
"TMS14F1306P0015",20.7564029943143,35.6334792029145,25.4211591731716,41.7869286978192,35.6802377393027,41.3732437758451,23.4245883253872,34.4679001238557,22.9853127466146,41.2499292563525,35.0750332248019,21.2490690504801,12.2422487940089,11.5120457594635,46.2269122943015,20.7242381948536,35.1693082498092
"TMS14F1306P0020",25.3233879190899,34.399454385777,25.6124922682779,39.3644588363819,40.9478250462306,42.0761964793145,24.4354495714868,34.9742728004682,22.4593407069278,46.565423909341,37.5344973791783,17.2905504385548,14.0651955475684,9.17071171872855,47.5541844349497,23.6346154439029,31.7232109447196
"TMS14F1310P0004",24.406165135271,36.1846724694925,27.7976203363525,40.08768392434,35.2577307402839,40.6608603639528,22.0812662530563,38.0382067825986,17.1702751218052,41.3191406834843,35.8261718099733,21.1029896932861,12.6043470384381,9.90658935586422,48.6815450793432,19.1779527080999,38.1318832252768
"TMS14F1311P0002",21.9785463854029,28.16500533995,20.9831063102938,41.0532937915303,33.005184814342,38.6999310476639,22.535416829942,25.5702825959473,17.3562741256479,36.9887675791778,35.6152458964187,19.606950404867,6.79776649212928,7.29478693759851,41.6909297660927,18.0946783603907,24.5092050609443
"TMS14F1312P0003",19.2472746561016,26.2272694579525,20.2140740599323,36.9540098517963,37.5580001214131,38.1416137778647,21.7584407212784,29.2465453633677,18.6098331776947,34.774779104787,35.3517959847475,16.7933537076787,10.2058896944852,10.7701163121977,43.3148539054244,22.0214508499149,30.8885672342098
