env,trait,trial,min,max,mean,std,gen_var,res_var,pev,pheno_var,H2,cv,Accr
Mokwa20,fyld,19UYT36setAMK,5.4375,32.6875,17.973239437,5.9547303734,0.5263,16.0220,0.4957820333,16.548371338,0.0318060504,22.270627352,0.2409449802
Mokwa20,hi,19UYT36setAMK,0.2917847025,0.7029520295,0.4863516494,0.0918216361,0.002007,0.005673,0.0012191269,0.0076808389,0.2613646161,15.487060343,0.6266687434
Mokwa20,tyld,19UYT36setAMK,4.4375,36.6875,19.122359155,6.8396855724,3.2495,33.6040,2.7528857283,36.853486235,0.0881743906,30.31473042,0.3909433292
Onne19,dm,18UYT36setAON,24.8,43.7,35.725,4.2706808536,11.3660,5.1888,1.7751968591,16.554812169,0.6865655041,6.3762199155,0.918593846
Onne19,dyld,18UYT36setAON,1.31,12.79125,5.4303298611,1.8738056023,1.0315,2.1969,0.4520930603,3.2283585477,0.3195106869,27.294511403,0.7494737358
Onne19,fyld,18UYT36setAON,5,33.75,15.228587963,5.0028479188,10.7066,13.6793,3.478356739,24.38591432,0.4390505312,24.28688163,0.8216579579
Onne19,hi,18UYT36setAON,0.3571428571,0.9166666667,0.6017289576,0.0919359945,0.003531,0.004068,0.0010740035,0.0075997731,0.4646590388,10.600214136,0.8341834308
Onne19,tyld,18UYT36setAON,1.25,19.375,9.9913194444,3.4343013828,2.5457,7.8072,1.3383233535,10.35292967,0.245896495,27.965608081,0.6886878457
Onne20,dm,19UYT36setAON,20.38,35.09,27.679193548,2.8871168319,3.9318,4.4296,1.7703162004,8.3613659168,0.4702348574,7.6037332369,0.7414477327
Onne20,dyld,19UYT36setAON,0.585925,3.63525,1.8960632056,0.7928535925,0.05140,0.3830,0.0418758406,0.4344249759,0.118314101,32.640855271,0.4304332075
Onne20,fyld,19UYT36setAON,0.75,11.5625,6.5240384615,2.7490164325,0.8180,3.8981,0.5958133516,4.7161457503,0.173451911,30.262942976,0.5211944248
Onne20,hi,19UYT36setAON,0.3524904215,0.7903225806,0.5701299927,0.0992720655,0.006685,0.003174,0.0015560634,0.0098587901,0.6780981238,9.8809721553,0.8759215251
Onne20,tyld,19UYT36setAON,0.6875,12,4.9153846154,2.2734893349,1.9080,2.2421,0.783269403,4.1501522756,0.4597488596,30.462977961,0.7677808418
Otobi19,dm,18UYT36setAOT,29.3,46.2,40.138888889,3.0356705932,4.2454,4.8527,1.2566882848,9.0981693122,0.4666256483,5.4881721416,0.8390417032
Otobi19,dyld,18UYT36setAOT,3.2413125,33.3,19.072565972,6.7479185896,11.1443,22.5354,4.7277091504,33.679661506,0.330890891,24.889903014,0.7587971289
Otobi19,fyld,18UYT36setAOT,11.0625,83.25,47.492476852,16.491706881,64.0772,138.98,28.239755949,203.05384103,0.3155673908,24.822534977,0.7478537454
Otobi19,hi,18UYT36setAOT,0.4065804935,0.7962003454,0.6514900583,0.0782532226,0.004325,0.001984,0.000690734,0.0063085841,0.6855054381,6.8369865751,0.9166661301
Otobi19,tyld,18UYT36setAOT,6.4375,50.6875,25.285300926,9.5714589589,33.1198,32.1289,8.9317855201,65.248780184,0.5075931119,22.417136258,0.8545871006
Ubiaja20,dm,19UYT36setAUB,25.6,39.4,32.921428571,3.0052076953,6.3519,2.7398,1.3157867278,9.0916904275,0.6986492125,5.0278210595,0.890422119
Ubiaja20,dyld,19UYT36setAUB,0.895125,11.7796875,5.6077033929,2.5497406386,1.9993,1.9263,0.7218140133,3.9255755582,0.5093028425,24.749897635,0.7993546509
Ubiaja20,fyld,19UYT36setAUB,2.625,33.25,16.869010417,7.0609190114,13.7487,16.3249,5.4653162023,30.073619215,0.4571680595,23.951677684,0.7761989571
Ubiaja20,hi,19UYT36setAUB,0.4407894737,0.8355555556,0.6373713077,0.0768807217,0.004738,0.001231,0.0006835754,0.0059691589,0.7937334875,5.5052674757,0.9250527114
