"gen","Abuja20","Ago-Owu18","Ago-Owu19","Ago-Owu20","Ibadan18","Ibadan19","Ibadan20","Ikenne18","Ikenne19","Ikenne20","Mokwa18","Mokwa19","Onne19","Onne20","Otobi19","Ubiaja20","Umudike19"
"TMS13F2207P0001",17.9818250314233,34.8236024874803,35.6887092508179,35.7305753319466,27.0200329434006,25.8221424096382,25.0480706242104,26.1019301531978,18.1016571109804,48.1867729570661,39.37992165558,29.3565091012645,12.0480127418884,8.93896526020986,26.3543488822893,13.5584318137562,16.2824553595967
"TMS14F1001P0004",13.0848443187929,34.2983546914201,32.1773707668615,33.7702582496353,24.8454828880811,23.1551498938963,20.5475477443592,21.5450750096846,17.3547109940828,46.6835081835782,35.2401707229649,25.8914901490823,8.21137867905309,6.38336871141112,23.9317986535029,12.4123052925918,14.9230171034922
"TMS14F1016P0006",12.7862716399901,31.6801384039575,32.410808126899,32.4446145238421,22.6439072508345,22.3386912995372,19.6708260658046,19.8141596699032,11.611294370328,44.8152809002171,36.5515883010576,25.8705099491757,9.84828258055508,5.21285394049393,24.2311459204987,10.6104003315294,12.8663274948285
"TMS14F1022P0006",9.95363860924454,29.0555224055236,28.6457422126953,29.8604403909763,21.4206310413071,20.287000711672,16.3441967166329,19.5737774716797,10.0564227505376,43.2157950365456,34.5097637024408,22.2452299812247,6.31856709087195,4.71524014159449,20.7669629036482,8.84226458047645,9.97575784513684
"TMS14F1035P0004",9.69713601315499,26.6908475276937,27.6499807511088,27.7929762228547,19.5745514332547,18.1726190441631,16.3616340070917,16.1973621827035,9.88854294989987,41.0230382788414,33.5215071077812,22.9714310281443,6.53163505177525,5.19607847630395,18.0944971277578,6.56525335662276,10.4229034867867
"TMS14F1035P0007",11.2931510834273,28.3193119037508,28.7363212379862,29.4404260218036,21.0239872482025,19.3690560181015,16.0971112893812,17.761935870015,12.696061573485,43.1341878380635,33.9710592794442,22.0562260098735,7.49537671046428,4.83706148017413,20.5523030929719,9.88765623859591,11.4987356130566
"TMS14F1036P0007",16.300543128401,34.2288872052923,35.3127251959415,36.7847984497602,29.37912495652,28.7697413290862,23.781188833133,25.4761034419456,18.1318387192446,50.3508057020252,39.7956595574809,28.4328962013184,9.89465319890534,7.08716691723567,27.7588879262649,14.9423505013512,20.2357431722179
"TMS14F1049P0001",11.3308395660064,31.7326442380928,31.1203679120777,31.1595256816323,23.3897568861128,21.4591757756594,19.4505578175055,18.9163817398619,15.2423714683301,45.6584750575731,35.5561682070507,24.4634990250098,6.96991499744866,5.3079122212318,23.8774321189344,12.4645283450235,13.4819325498306
"TMS14F1120P0003",20.536768102789,36.8133420291947,36.9202353567015,38.0836324841175,29.2428754486319,23.6669294019082,25.7518989123356,27.4592237354115,19.7462441208666,52.4659525951513,41.1503510154814,30.2011690106658,11.0514307286399,11.3291181660372,28.7808929341405,14.6583354514096,23.4448852357323
"TMS14F1131P0001",11.5176839685346,36.4559403821876,31.0117896411763,30.7893462532949,22.8585871772837,19.8090308058421,17.9610787445008,17.0290585233886,11.348404577726,44.6855015347366,33.5435362801582,25.0761861078241,7.28081953903231,5.59097545311874,23.2479255452855,9.34308706253175,11.958054666617
"TMS14F1194P0002",12.5842889686956,32.6856806437571,31.8844728832756,32.5614645712029,27.0036328242651,22.2039582769621,22.0194625512906,21.5652661738861,14.0895097084508,45.7020640412376,34.5448806774527,27.4746730182266,9.75792240286797,6.74754520235925,22.7467254587699,11.3284148439048,13.6401517582252
"TMS14F1195P0005",14.1330609763928,33.9614698417082,31.948830121668,32.2064571678568,26.2530447342056,21.0557535778284,20.9286581982853,23.7814143471861,14.6656366534563,46.9265397631368,36.6639330418289,27.5495315968903,8.10458312972995,7.80210746007142,24.1844689144175,10.2070014813267,14.6341509434697
"TMS14F1208P0007",12.8930840310129,30.9041452759202,30.4962841713824,33.0164734276012,23.8834207765169,26.8942168406048,20.3234128890429,17.9052174713748,14.2445558023403,44.8770356964532,36.1117716426915,25.6983733470616,6.3696708974182,6.18522169208067,24.0624236924749,11.2861008242523,12.3739480990365
"TMS14F1223P0007",9.32188998252525,24.6850274668468,27.4384536437691,26.9032984373221,17.3278086355398,15.512656257303,15.8188052075791,15.2391510231148,10.4549995685109,40.8455084738328,32.9479338025034,22.090608962364,6.47916088314566,4.39291318326923,17.6563582284433,6.62559338523873,8.73227385556574
"TMS14F1224P0004",11.6053387769928,29.8607255726534,29.8134097688072,29.0798099101386,21.9847561803934,19.4776732796002,17.7016572833727,19.6933137651749,11.7590133955783,42.3063565461442,36.9248684988558,25.506946290105,5.40802490014216,5.72079610035905,18.7116702719117,7.58808277864771,11.0011000085195
"TMS14F1262P0002",14.5423448952084,36.352960578575,35.5586247929422,34.4561791611336,27.4137426459823,23.1734118198966,22.6683622976191,23.2420643707471,14.9841744486165,47.7624357320785,39.4749345716342,27.4640079922892,8.28869091833136,6.94377438455939,27.2218465864826,14.9093660688459,16.2392876033831
"TMS14F1285P0017",12.3486135503198,26.7132613916264,29.4355105947622,28.730497473477,19.5465199233696,16.1540654254862,17.2435905744984,16.4247019356734,12.7925641797264,42.3092583776777,34.1571072132717,24.9446502827613,7.29050009203222,6.75342982435165,19.6682940626914,8.52253542710228,11.6619694251552
"TMS14F1291P0011",7.85678846562707,27.6028525975438,26.5286598364528,27.3448078019313,18.6282558262876,15.873577898358,15.3664509872603,14.1708168839071,9.29595566028651,40.0294138005666,31.7287499204846,22.4120060412528,5.60797572824528,1.05095080286837,17.2049775350105,7.86658131858922,8.16790510330502
"TMS14F1297P0019",16.2393108057942,37.7689951820836,36.6877286977066,36.0028759076512,25.5155295586864,24.6072459216739,24.057634489879,23.0917118684392,20.0471501244815,50.0833337495089,40.0870629223187,31.6288528482499,11.7317032213767,10.2009406272884,26.2327473840529,16.1425543862718,16.2739484122049
"TMS14F1300P0008",19.2289398094129,36.3949917058855,35.5219937952151,39.4735201871602,31.5184598949149,26.6073354948652,27.3821024566091,27.6145887503928,19.3211759097123,50.8918177876821,42.2569489850436,31.3205461609818,11.0932433382696,8.97154295238434,31.6428661653962,14.0320731933384,20.3289312188765
"TMS14F1303P0012",15.0940567610378,38.2917477982641,37.2894295599807,37.7344555226723,28.0306245117187,25.9762003962247,23.7184387866519,28.7039444834764,18.7678378129751,50.3637570249635,42.331431860442,29.0932066117681,11.0952975631939,7.13837274761763,28.5263119894768,16.891970480999,16.5681669098886
"TMS14F1306P0015",17.0094487885087,33.9821869589772,34.4141050594032,34.6111333503783,26.6142269943276,24.8191080068831,22.6213407787057,23.6566591941011,20.325016532856,48.2213680259408,37.9184253041453,28.3207942096814,10.6434526917772,7.16291267892537,25.8850218178451,13.7499000059699,15.5699257573602
"TMS14F1306P0020",16.1477024429117,34.9187832114695,32.2891526374899,33.3230850936951,25.8977626457049,24.0044275579106,22.2328381590366,23.1991965712364,18.1399370174668,47.5470088257453,38.7614830060973,25.584621860197,8.69892167319637,6.50729352025964,27.3484757977014,13.1585708419634,14.3369807506977
"TMS14F1310P0004",12.2692873633202,30.6881222286943,31.2664745271094,29.774413728384,20.6750629433745,17.9731222801922,16.2363779347972,18.8292873949482,13.2377659703282,44.9642781542502,33.8609960478082,24.2783835326265,5.92665726406635,6.01111172362076,21.2590297091862,10.4794926179204,15.4498790293348
"TMS14F1311P0002",14.677670113499,33.4025173321277,33.4529430860468,34.3308297328072,25.7642503350443,24.7348524587079,20.7071334169281,23.9750441191772,16.4417611704239,46.9205231055324,37.7146950508756,27.0361959654388,9.09144205162958,6.25311597992797,25.2384265016785,11.102515425715,15.5720944118225
"TMS14F1312P0003",15.438367983126,36.7939925969163,36.4030008323964,37.6106934927465,26.5651231070377,23.0788275937076,20.7457380046347,25.2976803262019,17.9078827668368,49.6701772945953,39.2828670068937,30.2867969630124,9.67451779869936,9.2246283269026,30.0972329995495,13.3326718735029,20.941477254015
